binary,given_name,surname,date_of_birth,phone_number,email,address,city,state,zipcode,pd qcut2,random choice 4,random choice 2,target,semi_constant_1,min max scaling,outliers 1,pd qcut3,constant_2,uniform corr 2,constant_1,multicollinearity 3,duplicate_2,random choice 7,correlated w target 2,multicollinearity 1,duplicate_1,uniform corr 1,multicollinearity 4,standard scaling,semi_constant_2,correlated w target 1,random label num 13,outliers 2,corr_feature_class,informative_1,multicollinearity 2,random label num 4,informative_2,pd qcut1,class
binary_2,Shane,Mendoza,1954-06-04,,michael50@example.net,823 Katie Stream Suite 188,,MI,73043,,East,Rand Choice 1,-0.9042236742875387,q_const_0,361.29499011535006,-3.139171079404311,G4,constant_value,0.5647508587229139,constant_value,,-0.6638599972813359,Monday,,-0.07505367391613334,-0.9991017824896424,,-0.5526641426100555,51718.69503239497,q_const_0,0.10986105515351802,label num hi 7,,-0.46851094528052073,-0.9991017824896424,0.3285966159668423,label num lo 2,-0.6638599972813359,Low,1
,Teresa,Haney,1923-07-14,001-431-690-1160x342,joshuagraham@example.net,7882 Reynolds Isle Suite 598,,WV,,,,Rand Choice 2,2.324369783092482,q_const_0,334.3907903607551,-0.7644562986492923,G5,constant_value,0.4410380620383764,constant_value,,1.153596854135379,,,-0.9450769580395489,1.2466861830450993,,0.21475241354540234,32320.594784504836,q_const_0,3.514334173564067,label num hi 3,3.62402415253106,0.8646189481469242,1.2466861830450993,,label num lo 4,1.153596854135379,High,1
binary_1,Jessica,,1989-09-06,490.633.0179x173,elizabethperez@example.com,,,MA,50989,,West,Rand Choice 1,1.7782165547025084,q_const_0,372.04770537863385,-0.5628898928628862,G5,constant_value,0.6076809560900694,constant_value,,0.8593974662590766,Sunday,,-1.732901429760749,0.9627768269601935,0.8014909261984566,-1.393223677385044,41246.48177115474,q_const_0,2.395081806688678,label num hi 6,,0.4275475404550113,0.9627768269601935,-3.0119134910621654,label num lo 2,0.8593974662590766,High,1
,,Jennings,1909-07-01,(992)673-5294x88072,john20@example.com,7340 Fox Pass,,RI,64545,Q4,West,Rand Choice 2,5.451234575139656,q_const_0,401.6557048829069,-1.0623271310707667,G6,constant_value,0.5166156326796773,constant_value,1.3271841192182454,2.0336452879154674,Friday,3.045198061432153,-0.12494378392743384,-2.9574409509433037,,1.7025432045057016,37831.419274106775,q_const_0,2.5774503543364506,label num hi 10,,,-2.9574409509433037,1.0348702303057344,label num lo 2,2.0336452879154674,High,1
,,Hunter,1938-02-08,522-426-5009,nancy25@example.com,,,,,Q3,North,Rand Choice 2,2.1539258469951807,q_const_0,470.7538219861691,-0.6765938183714371,G5,constant_value,0.6880486396826312,constant_value,-1.4360517956387657,1.05944863351561,Thursday,-0.7354219605896406,-0.26720963465381925,1.1411652716579705,0.3804049274128788,-1.5834163340376086,57137.46204671188,q_const_0,-0.9653683981243724,,5.4093616463297405,0.6777670170906942,1.1411652716579705,0.3602928650611601,label num lo 2,1.05944863351561,High,1
binary_1,Christine,Arias,1966-08-12,860-365-0083x4492,,7261 Nelson Valleys,North Carlaville,AK,,Q4,East,Rand Choice 2,4.626787069235546,q_const_0,299.11668435226505,0.2196536976207886,G6,constant_value,0.8892747172794322,constant_value,,2.399635889224372,Thursday,1.1092134318762383,0.484618613787193,2.485477863898728,,-1.342571190341615,39647.726445165776,q_const_0,3.744180144279751,label num hi 12,3.775183080873747,1.0842663902189256,2.485477863898728,-0.14781085439871605,,2.399635889224372,High,1
binary_1,,Hall,1929-04-26,,churchlisa@example.net,,West Kayla,OK,88279,Q2,South,Rand Choice 2,-1.187224231921867,q_const_0,212.04597686563937,-1.2289666574122728,G3,constant_value,0.14285257290423392,constant_value,0.6210502910399052,-0.747560845179044,Thursday,,-0.7348973821582084,-0.6479636736717482,0.07244739415698423,0.7545972301926156,66493.966620999,q_const_0,-3.873573517468579,label num hi 11,2.9092264363768083,2.3057663939615565,-0.6479636736717482,-0.17714586505771135,label num lo 2,-0.747560845179044,Low,0
binary_2,Paul,,1910-03-07,,douglas56@example.org,45448 John Pass,Hawkinstown,KS,92338,Q2,East,Rand Choice 1,-1.266374292198878,q_const_0,235.9231415491921,-0.7478110304876777,G3,constant_value,,constant_value,-0.553630480116958,-0.8182224427035356,Wednesday,,-0.5209559684255636,-0.8922328125534437,0.12646468161714303,-0.787888316326037,47230.90791065155,q_const_0,1.4995934594922162,label num hi 11,,-1.5226667910768175,-0.8922328125534437,-1.3118950062882704,,-0.8182224427035356,,0
binary_1,,Carlson,1922-04-17,,pwarner@example.com,,,,,Q3,,Rand Choice 2,0.24111056261580832,q_const_0,416.8101638814201,-4.6095440864591755,G4,constant_value,,constant_value,0.7654657887953762,-0.09154666780661158,Sunday,1.094902853469173,0.2975168208662629,-0.7273359834485558,0.494376871739594,,45442.58848417586,q_const_0,1.55352008034831,label num hi 8,4.3229513561248245,0.7987065103746964,-0.7273359834485558,-0.5691415271118704,label num lo 2,-0.09154666780661158,High,0
binary_2,,,2020-03-29,,sarah54@example.com,649 Bethany Track,,MT,,,,Rand Choice 1,-3.935564389564147,q_const_0,241.0269621707125,0.6138755069201838,G1,constant_value,,constant_value,-0.14761312022528664,-1.8069333466532713,Wednesday,,0.221258307620046,0.9753643211025785,,-0.11505095127808233,43963.93727187546,q_const_0,-5.374044949208372,label num hi 11,,-5.051450353465865,0.9753643211025785,,,-1.8069333466532713,Low,0
